Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Vullierens;2021;2026;76; -   ;76;1; - ; - ;50;100;100;100;100;50; 1.0p/Fr ; -   
Yens;2025;2026;68; - ;68;1;0.5;-;50;50;50;50;100;50;100; -   
;;;;;;;;;;;;;;;;
DISTRICT DE NYON;;;;;;;;;;;;;;;;
Arnex-sur-Nyon;2025;2026;66; - ;66;1;0.5;-;50;25;-;25;50;50;50; -   
Arzier-Le Muids;2025;2027;64; - ;64;1.5; - ;-;50;50;-;100;100;50;50; -   
Bassins;2025;2026;72.5; - ;72.5;1.4;0.5;-;50;100;-;100;100;50;90; -   
Begnins;2025;2026;62.5; - ;62.5;1.5; - ;-;50;-;-;100;100;50;100; -   
Bogis-Bossey;2025;2026;70; - ;70;1;0.5;-;50;50;-;50;100;50;30; -   
Borex;2025;2026;57; - ;57;1.5; - ;-;50;-;-;100;100;50;0.50p/Fr; -   
Bursinel;2025;2026;62; - ;62;0.75; - ;-;50;-;-;80;100;50;1.0p/Fr; -   
Bursins;2025;2026;71; -   ;71;1;0.5; - ;50;50;30;80;100; - ; 1.0p/Fr ; -   
Burtigny;2025;2026;75; -   ;75;1.5;0.5; - ;50; - ; - ;70;90;50;50; -   
Chavannes-de-Bogis;2025;2026;58; - ;58;1.5;0.5;-;50;-;-;50;100;50;50; -   
Chavannes-des-Bois;2025;2026;66; - ;66;1.5; - ;-;50;-;-;100;100;50;80; -   
Chéserex;2025;2026;59; - ;59;1; - ;-;50;-;-;100;100;50;100; -   
Coinsins;2025;2026;49; -   ;49;1; - ; - ;50;45; - ;70;100;45; - ; -   
Commugny;2025;2026;58; - ;58;1.3; - ;-;50;-;-;100;100;50;1.0p/Fr; -   
Coppet;2025;2026;57; - ;57;1.5;0.5;-;50;-;-;100;100;50;50; -   
